1632609330.299867 START
1632612108.2292333 n02177972 completed
1632612136.3045108 n02190166 completed
	
1632612174.5423746 n02206856 completed
	
	
1632612234.5643754 n02229544 completed
1632612264.4933724 n02231487 completed
1632612289.1593723 n02233338 completed
1632612321.650374 n02236044 completed
1632612348.0013723 n02256656 completed
1632612378.204373 n02259212 completed
1632612401.4313724 n02262449 completed
1632612431.0193722 n02264363 completed
1632612477.2683723 n02268443 completed
1632612513.2533717 n02268853 completed
	
1632612550.940374 n02277742 completed
1632612603.5073729 n02279972 completed
	
1632612642.4203734 n02281406 completed
1632612675.140373 n02281787 completed
	
1632612714.4203734 n02317335 completed
	
1632612745.2593727 n02321529 completed
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
1632612938.6243722 n02488702 completed
1632612957.5353734 n02489166 completed
1632612990.1873727 n02490219 completed
1632613022.7663739 n02492660 completed
1632613038.1433716 n02493509 completed
1632613066.727374 n02493793 completed
1632613097.9153721 n02494079 completed
1632613136.6123724 n02497673 completed
	
	
1632613235.3243725 n02504458 completed
	
1632613273.136373 n02509815 completed
	
	
1632613309.1383724 n02536864 completed
1632613336.5683727 n02537525 completed
	
	
1632613388.4266253 n02641379 completed
	
1632613438.4326231 n02667093 completed
	
	
	
	
	
	
	
	
	
	
	
1632613516.6946259 n02730930 completed
	
	
	
1632613557.7746234 n02769748 completed
1632613581.6056237 n02773838 completed
1632613607.4226234 n02776631 completed
	
	
1632613641.0756238 n02783161 completed
	
	
	
	
	
	
	
	
	
	
	
1632613758.738625 n02802426 completed
	
	
1632613793.3606248 n02807133 completed
1632613819.5426235 n02807616 completed
	
	
	
	
	
	
1632613881.4976244 n02823428 completed
1632613909.098624 n02823750 completed
	
	
1632613967.265624 n02834397 completed
	
1632614003.4756248 n02837789 completed
1632614028.328623 n02840245 completed
1632614058.6926231 n02841315 completed
	
	
	
	
	
1632614111.4066262 n02870880 completed
1632614141.047625 n02871525 completed
	
	
	
	
	
1632614198.2716246 n02887489 completed
1632614235.9563963 n02892201 completed
	
1632614292.867394 n02894605 completed
	
	
1632614352.8173926 n02898711 completed
	
	
	
	
	
	
1632614428.9033926 n02927161 completed
1632614459.3683927 n02928608 completed
1632614477.2963932 n02929289 completed
	
	
	
	
	
	
	
	
	
	
1632614598.2133934 n02963159 completed
1632614634.4413939 n02965783 completed
	
	
1632614684.7973924 n02971356 completed
	
1632614742.6303928 n02979186 completed
1632614772.6633935 n02980441 completed
	
	
	
	
1632614839.0608141 n02997607 completed
1632614866.680932 n03000134 completed
	
	
	
	
	
	
1632614936.6262789 n03018712 completed
	
1632614962.4952786 n03026506 completed
	
	
1632614988.5228548 n03034663 completed
	
1632615017.3580241 n03042490 completed
1632615036.9611285 n03047690 completed
	
	
	
1632615066.5428834 n03068998 completed
1632615092.9862158 n03071160 completed
	
	
	
1632615122.9605093 n03089624 completed
	
1632615157.1871254 n03100240 completed
	
	
	
	
	
1632615203.8855 n03127747 completed
	
1632615229.99065 n03131574 completed
1632615245.0615244 n03134739 completed
	
	
	
	
1632615298.890794 n03179701 completed
	
	
1632615330.8065772 n03188531 completed
	
1632615338.9009445 n03201208 completed
1632615368.3075588 n03207743 completed
	
1632615403.2890685 n03216828 completed
	
1632615425.0102184 n03220513 completed
1632615447.197889 n03223299 completed
	
	
	
	
	
	
	
	
	
	
	
	
1632615547.9642112 n03290653 completed
1632615565.910009 n03291819 completed
	
	
	
	
1632615610.701933 n03320519 completed
1632615637.96437 n03325584 completed
	
1632615669.887719 n03337140 completed
	
	
	
1632615717.0569298 n03351979 completed
1632615738.6770887 n03355925 completed
	
	
	
	
	
1632615786.1874182 n03379051 completed
	
1632615829.7468877 n03388043 completed
	
	
	
1632615857.810493 n03394916 completed
1632615878.2896502 n03400231 completed
	
	
	
	
	
	
	
1632615923.7607763 n03444034 completed
	
1632615955.0991163 n03445924 completed
1632615976.1381226 n03447447 completed
	
1632616002.404928 n03450230 completed
	
1632616029.2003086 n03457902 completed
1632616057.7250836 n03459775 completed
1632616078.8537843 n03461385 completed
	
	
1632616104.1262848 n03476991 completed
	
	
1632616121.9806602 n03482405 completed
	
	
	
	
1632616162.56455 n03485794 completed
	
1632616198.8987432 n03492922 completed
	
	
	
1632616245.854845 n03505504 completed
	
	
1632616271.270549 n03529860 completed
	
	
	
	
	
	
	
1632616322.7964957 n03557692 completed
	
	
1632616349.8245602 n03584254 completed
	
1632616386.894845 n03590841 completed
1632616420.3893464 n03594734 completed
	
	
1632616459.1421435 n03598930 completed
	
	
1632616484.7389457 n03604400 completed
1632616507.4164925 n03617480 completed
	
	
	
	
	
	
	
	
1632616602.1374886 n03657121 completed
	
	
1632616638.1908352 n03666591 completed
	
	
1632616681.561567 n03676483 completed
	
1632616717.2720127 n03690938 completed
	
	
	
	
1632616766.4922228 n03710193 completed
	
1632616789.2953358 n03710721 completed
1632616818.3204029 n03717622 completed
	
	
	
1632616865.3895547 n03729826 completed
	
	
1632616890.8380098 n03742115 completed
	
	
	
	
	
	
	
1632617000.3919957 n03775071 completed
	
1632617030.4335833 n03781787 completed
	
	
	
	
1632617109.8294697 n03788365 completed
1632617134.9056532 n03791053 completed
1632617163.9058192 n03792782 completed
1632617186.4829202 n03793489 completed
	
1632617225.929917 n03797390 completed
	
1632617267.3559244 n03805725 completed
	
	
1632617322.4236765 n03837869 completed
	
	
	
	
	
	
	
	
1632617392.8207324 n03874599 completed
	
1632617428.5342112 n03877472 completed
	
	
	
	
1632617456.2065022 n03888257 completed
	
	
	
1632617501.6527917 n03902125 completed
1632617525.228053 n03908204 completed
1632617547.5172422 n03908714 completed
	
1632617572.2841403 n03920867 completed
1632617593.8435476 n03924679 completed
	
1632617628.0705318 n03930313 completed
	
	
	
	
1632617659.69603 n03956157 completed
	
	
	
	
	
	
1632617726.5271418 n03978966 completed
1632617748.847495 n03980874 completed
1632617774.4462144 n03982232 completed
	
	
	
	
1632617834.034184 n04009552 completed
	
	
	
1632617879.2198994 n04037443 completed
	
	
	
	
	
1632617925.4012742 n04069434 completed
	
	
1632617964.1852362 n04081281 completed
	
	
	
	
	
1632618000.1883051 n04116512 completed
	
	
	
1632618053.906667 n04120489 completed
	
	
	
1632618098.691387 n04133789 completed
1632618120.36247 n04136333 completed
1632618122.0542629 n04140064 completed
	
1632618143.482733 n04141327 completed
1632618149.9287412 n04141975 completed
	
1632618173.4982877 n04146614 completed
	
	
	
	
1632618203.517773 n04162706 completed
	
	
1632618249.1845915 n04192698 completed
	
	
1632618292.6494308 n04201297 completed
	
	
	
	
1632618336.05572 n04209133 completed
	
	
	
	
1632618390.160667 n04233124 completed
1632618410.7310448 n04235860 completed
	
	
1632618454.6161556 n04251144 completed
1632618478.005956 n04252077 completed
	
	
1632618503.5115557 n04254777 completed
	
	
	
1632618544.871154 n04273569 completed
1632618571.634539 n04275548 completed
	
	
	
1632618606.7356596 n04325704 completed
1632618629.984795 n04326547 completed
	
	
	
1632618664.9832425 n04349306 completed
1632618684.5401657 n04350905 completed
	
1632618708.8227115 n04367480 completed
	
	
	
1632618766.4929504 n04376876 completed
	
	
	
1632618812.4314222 n04398044 completed
	
1632618832.8756921 n04409515 completed
	
1632618854.8150635 n04417672 completed
1632618874.9705863 n04418357 completed
1632618895.799919 n04421872 completed
	
	
1632618923.2167861 n04435653 completed
	
	
	
1632618984.3047454 n04458633 completed
1632618999.746904 n04462240 completed
	
	
	
	
	
	
	
	
	
	
	
	
	
1632619101.7036154 n04507155 completed
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
1632619284.7855413 n04555897 completed
	
	
	
1632619328.6990516 n04584207 completed
1632619344.2480533 n04589890 completed
1632619356.1768699 n04590129 completed
	
	
1632619400.7614515 n04613696 completed
	
	
	
	
1632619482.6861928 n07711080 completed
1632619504.6743276 n07711569 completed
1632619521.5097973 n07713763 completed
	
1632619547.7934282 n07714571 completed
1632619569.35459 n07714990 completed
1632619589.9292967 n07715103 completed
1632619613.123544 n07715221 completed
1632619632.2500474 n07716358 completed
1632619645.6580772 n07716906 completed
1632619664.520426 n07717410 completed
1632619677.6785588 n07717556 completed
1632619699.9086905 n07718472 completed
1632619719.892524 n07718747 completed
1632619749.3991826 n07719213 completed
1632619769.5810492 n07720277 completed
1632619793.6144922 n07720875 completed
1632619812.8405476 n07721195 completed
1632619834.1387508 n07721678 completed
1632619854.4272459 n07722485 completed
1632619868.1098092 n07723039 completed
1632619883.715867 n07723177 completed
1632619907.6871893 n07723559 completed
1632619930.3243794 n07725531 completed
1632619952.1099195 n07726095 completed
1632619972.5438519 n07727048 completed
1632619988.8907714 n07729485 completed
1632620000.6852112 n07730033 completed
1632620018.5031607 n07730406 completed
1632620033.3144786 n07732747 completed
1632620058.0325038 n07734292 completed
1632620089.7436411 n07734744 completed
1632620102.6776183 n07735404 completed
1632620129.7442882 n07735510 completed
1632620143.6910172 n07735803 completed
1632620163.2086723 n07736692 completed
1632620163.2518253 n07737745 completed
1632620183.5074525 n07739344 completed
1632620204.4806051 n07742313 completed
1632620227.1815069 n07743544 completed
1632620247.1007495 n07743902 completed
1632620268.0058284 n07744246 completed
1632620290.0565133 n07744811 completed
1632620316.1895285 n07745466 completed
1632620341.9851978 n07745940 completed
1632620361.3265488 n07746186 completed
1632620386.5295253 n07747607 completed
1632620406.0647502 n07749446 completed
1632620428.4768414 n07749582 completed
1632620449.229509 n07749969 completed
1632620470.3103561 n07751451 completed
1632620493.1833177 n07753113 completed
1632620514.4438472 n07753275 completed
1632620538.9021478 n07753592 completed
1632620563.4633121 n07754684 completed
1632620586.7619443 n07757132 completed
1632620616.4216387 n07758680 completed
	
1632620649.532943 n07762913 completed
1632620672.3360507 n07764155 completed
1632620692.9939547 n07765208 completed
1632620711.8213573 n07765361 completed
1632620731.5270202 n07766173 completed
	
1632620761.6190345 n07767549 completed
1632620788.9132102 n07768694 completed
1632620809.7638278 n07769584 completed
1632620831.6341717 n07770763 completed
1632620851.6528728 n07771212 completed
1632620872.2727091 n07772147 completed
1632620892.1232386 n07772274 completed
1632620908.2665324 n07772788 completed
1632620930.8571668 n07772935 completed
1632620949.9412332 n07774719 completed
1632620972.8009853 n07775050 completed
1632620988.6329298 n07775197 completed
1632621012.078326 n07929351 completed
	
1632621047.0697086 n09246464 completed
1632621059.3777082 n09256479 completed
	
	
1632621107.3006876 n09332890 completed
	
1632621137.888544 n09399592 completed
1632621160.9796512 n09421951 completed
	
	
	
1632621196.204379 n11608250 completed
	
1632621224.0951674 n11664418 completed
1632621238.1311362 n11695974 completed
1632621260.0941353 n11703669 completed
1632621276.9501402 n11709205 completed
1632621301.2558188 n11709674 completed
1632621320.8838174 n11712282 completed
1632621333.9787865 n11721337 completed
1632621357.457514 n11725821 completed
1632621379.8054821 n11727540 completed
1632621405.5780962 n11733054 completed
1632621428.7180977 n11736694 completed
	
1632621460.1610975 n11756669 completed
1632621481.4412467 n11757851 completed
1632621500.3545804 n11759404 completed
1632621522.5985844 n11759853 completed
1632621536.659581 n11770256 completed
1632621562.769145 n11793779 completed
	
1632621599.769145 n11807979 completed
1632621623.232946 n11810358 completed
1632621649.4859493 n11821184 completed
1632621668.281613 n11826198 completed
1632621690.8481145 n11839568 completed
1632621707.1994863 n11859737 completed
1632621737.7621248 n11879895 completed
1632621757.748127 n11887119 completed
1632621778.273198 n11888800 completed
	
1632621802.6198564 n11901294 completed
1632621818.632282 n11901597 completed
1632621843.7744198 n11901977 completed
1632621863.6600714 n11903671 completed
1632621886.8401961 n11904109 completed
1632621908.7353964 n11906917 completed
1632621923.06977 n11907100 completed
1632621939.5627127 n11908846 completed
1632621957.561569 n11921395 completed
1632621972.654684 n11923397 completed
1632622004.5597246 n11939491 completed
1632622032.2476087 n11943660 completed
1632622046.4232821 n11943992 completed
1632622065.8144295 n11947802 completed
1632622091.5026793 n11950345 completed
	
1632622120.551015 n11958080 completed
1632622146.115304 n11960245 completed
1632622170.1954358 n11962272 completed
1632622188.3109114 n11969607 completed
1632622217.2818434 n11971248 completed
1632622243.1558354 n11971783 completed
1632622274.1873596 n11978233 completed
1632622294.0164132 n11980318 completed
	
1632622334.112542 n12023726 completed
1632622356.8179252 n12043673 completed
1632622370.0330982 n12043836 completed
1632622388.3428571 n12044467 completed
1632622408.92625 n12047345 completed
1632622426.0111053 n12047884 completed
1632622444.4231193 n12049282 completed
1632622466.8527792 n12049562 completed
1632622490.7299497 n12050533 completed
1632622504.1918344 n12051103 completed
	
1632622536.5147347 n12055516 completed
1632622561.7087984 n12056217 completed
1632622581.80873 n12058630 completed
1632622604.5491333 n12059314 completed
1632622618.7511446 n12059625 completed
	
1632622650.1778426 n12064389 completed
	
	
1632622699.6933634 n12070016 completed
1632622721.3960516 n12072722 completed
1632622743.2353823 n12073991 completed
1632622765.383865 n12074408 completed
1632622790.2117496 n12074867 completed
1632622810.360967 n12075010 completed
1632622823.456243 n12075151 completed
1632622841.6576087 n12076223 completed
	
1632622879.0198083 n12083591 completed
1632622902.9886606 n12084890 completed
1632622921.8925781 n12085267 completed
1632622947.0205398 n12086012 completed
1632622975.6284826 n12093329 completed
1632623001.8808444 n12144580 completed
1632623023.6922858 n12154773 completed
	
1632623073.79259 n12172364 completed
	
	
1632623116.8267896 n12199790 completed
1632623140.04733 n12201580 completed
1632623163.5131438 n12202936 completed
1632623181.818722 n12242409 completed
1632623199.898593 n12261808 completed
1632623215.0362566 n12266796 completed
1632623238.9219644 n12267677 completed
1632623264.4334195 n12269241 completed
1632623284.3957016 n12272883 completed
1632623309.187832 n12276872 completed
	
1632623339.6061082 n12281788 completed
1632623352.8631902 n12281974 completed
	
	
1632623392.4860673 n12290748 completed
1632623425.2106917 n12293723 completed
1632623448.3030381 n12301445 completed
	
1632623469.2068183 n12304703 completed
1632623490.934166 n12317296 completed
	
1632623526.0433495 n12360108 completed
1632623548.4387968 n12401684 completed
	
1632623563.9371903 n12407079 completed
1632623578.398458 n12407222 completed
1632623592.9804475 n12478768 completed
1632623614.4702997 n12492106 completed
	
	
1632623654.4081466 n12496949 completed
1632623668.4392254 n12513613 completed
1632623695.5879133 n12513933 completed
1632623714.5632427 n12523475 completed
1632623735.4129176 n12527738 completed
1632623751.7068474 n12544539 completed
1632623769.4194527 n12560282 completed
1632623785.3437686 n12570394 completed
1632623803.3372662 n12570972 completed
1632623834.8140535 n12582231 completed
1632623857.9117947 n12606438 completed
1632623884.0083082 n12620546 completed
1632623906.064907 n12658118 completed
1632623920.26954 n12663023 completed
1632623958.6337304 n12683407 completed
1632623977.3010056 n12713866 completed
1632623996.1046395 n12717072 completed
1632624027.4772084 n12726670 completed
1632624048.73674 n12727101 completed
1632624062.4745266 n12727518 completed
1632624077.2994847 n12741792 completed
1632624092.2208297 n12753007 completed
	
1632624121.720437 n12754981 completed
1632624139.7731922 n12755225 completed
1632624166.7526655 n12755727 completed
1632624185.0375788 n12756457 completed
	
	
1632624225.3972461 n12774299 completed
1632624242.2697065 n12830222 completed
1632624277.319379 n12833149 completed
	
1632624319.2121975 n12836862 completed
1632624336.815316 n12879527 completed
1632624365.9386423 n12884260 completed
1632624396.5044987 n12890265 completed
	
	
1632624422.9343858 n12966945 completed
	
	
	
1632624485.5857673 n12998815 completed
	
1632624515.045777 n13011595 completed
	
1632624547.631904 n13037406 completed
1632624570.045988 n13040303 completed
1632624594.8068619 n13043926 completed
1632624610.782703 n13044778 completed
1632624633.7583485 n13049953 completed
	
1632624668.4472835 n13054560 completed
1632624687.574536 n13060190 completed
1632624711.9669325 n13111881 completed
1632624732.8447676 n13133613 completed
1632624755.4136343 n13136316 completed
